price,area,id
125000,28,29970
511000,128,29968
511000,128,29967
550000,180,29966
373000,81,29965
185000,46,29964
9800000,3630000,29963
2800000,700,29962
200000,78,29961
1200000,300,29960
1200000,300,29959
1800000,327,29958
585000,135,29957
145000,17,29956
374400,576,29952
382642,588.6799999999999499777914024889469146728515625,29951
374400,576,29950
374400,576,29949
550000,700,29948
230000,47,29946
160000,94,29945
430000,100,29944
850000,380,29943
180000,82,29942
700000,115,29941
680000,150,29939
160000,30,29938
680000,173,29937
750000,370,29936
1300000,325,29934
190000,46,29930
400000,174,29928
160000,115,29927
1200000,600,29926
215000,130,29925
440000,247,29924
800000,220,29921
680000,214,29918
250000,56,29916
1200000,482,29915
250000,56,29913
160000,30,29912
690000,345,29910
175000,42,29909
670000,110,29908
2100000,356,29907
450000,143,29905
250000,47,29904
360000,57,29903
450000,176,29901
550000,200,29897
730000,167,29896
1500000,606,29895
250000,477,29894
560000,111,29893
1250000,354,29892
182000,80,29891
790000,137,29889
370000,210,29888
1420000,550,29887
490000,215,29886
310000,540,29884
750000,132,29882
750000,132,29881
148000,47,29880
1200000,680,29877
160000,300,29874
220000,82,29872
138000,37,29870
385000,95,29865
450000,135,29862
3800000,850,29861
645000,150,29860
850000,204,29856
390000,186,29854
950000,323,29853
1650000,300,29851
240000,70,29846
350000,71,29844
1650000,300,29843
336000,75,29841
617000,111,29840
640000,173,29839
550000,180,29838
1350000,312,29836
200000,44,29834
700000,135,29833
200000,44,29832
15000,15,29828
30000,15,29827
600000,900,29826
1490000,288,29825
400000,175,29824
450000,378,29823
240000,110,29822
300000,196,29821
185000,48,29820
550000,215,29817
700000,131,29814
160000,48,29813
250000,50,29811
650000,370,29810
1400000,370,29809
580000,140,29808
190000,80,29807
1500000,277,29806
145000,250,29805
275000,487,29804
275000,487,29802
1150000,174,29798
798000,123,29797
210000,108,29793
106500,50,29790
1000000,242,29789
636000,112,29788
170000,63,29787
1500000,303,29786
10000000,4801,29785
200000,61,29779
720000,161,29778
305000,128,29777
240000,364,29775
245000,387,29774
330000,54,29771
330000,54,29770
750000,330,29769
175000,52,29768
170000,40,29767
750000,190,29766
225000,47,29765
610000,213,29764
330000,54,29763
400000,95,29762
1360000,970,29761
400000,308,29760
500000,875,29759
450000,160,29758
530000,173,29757
230000,136,29755
3600000,600,29754
750000,123,29753
950000,252,29752
509000,87,29751
200000,66,29750
220000,45,29749
150000,40,29748
172000,47,29747
520000,93,29745
1500000,270,29744
700000,170,29743
420000,226,29742
320000,508,29741
265000,540,29740
286000,445,29739
340000,87,29738
350000,95,29737
350000,95,29736
340000,98,29735
450000,380,29733
750000,230,29730
320000,57,29729
850000,174,29728
700000,238,29726
1000000,285,29725
420000,67,29723
270000,154,29721
1600000,238,29720
280000,65,29716
650000,120,29712
320000,171,29711
190000,48,29708
1400000,270,29706
9000000,2904000,29705
9000000,2904000,29705
300000,81,29704
300000,81,29703
1600000,500,29701
450000,78,29693
230000,304,29692
170000,55,29691
65000,25,29690
600000,768,29689
170000,48,29688
140000,89,29686
550000,146,29685
435000,186,29684
750000,148,29683
490000,77,29682
1600000,350,29681
45000,27,29680
600000,175,29671
320000,120,29670
490000,250,29667
700000,330,29665
320000,479,29660
980000,264,29659
1250000,822,29658
300000,46,29656
,390,29655
109190,160,29654
550000,115,29653
320000,170,29652
480000,156,29651
171000,49,29650
280000,82,29647
350000,159,29645
690000,131,29644
455000,73.6700000000000017053025658242404460906982421875,29643
125000,42,29642
360000,156,29641
320000,127,29640
450000,226,29639
750000,120,29634
300000,103,29633
300000,104,29632
300000,104,29631
340000,360,29630
300000,163,29627
250000,510,29626
160000,43,29625
300000,164,29624
2400000,720,29623
530000,120,29621
530000,830,29620
250000,106,29619
1300000,320,29616
550000,175,29615
575000,172,29612
185000,47,29610
350000,127,29609
950000,186,29608
330000,84,29607
250000,70,29605
400000,241,29604
250000,180,29601
225000,38,29597
240000,52,29596
400000,199,29594
160000,320,29593
1050000,280,29591
,616,29589
220000,94,29588
450000,84,29586
430000,119,29585
330000,132,29583
210000,364,29582
250000,67,29581
220000,92,29573
550000,143,29570
350000,95,29569
640000,243,29566
176664,360,29565
171360,336,29564
171360,336,29563
179466,367,29562
300000,106,29557
240000,402,29556
1300000,359,29554
1200000,230,29551
2000000,266,29549
320000,190,29546
320000,96,29544
170000,45,29543
270000,100,29542
540000,275,29541
600000,114,29539
375000,57,29538
230000,63,29536
215000,95,29528
300000,62,29527
370000,70,29526
240000,181,29525
230000,93,29524
1200000,238,29523
580000,120,29522
2100000,345,29521
375000,180,29520
265000,258,29517
550000,310,29516
190000,151,29515
330000,264,29514
260000,77.7000000000000028421709430404007434844970703125,29513
1200000,445,29511
3500000,750000,29510
3500000,750000,29510
287000,98,29508
420000,98,29507
430000,98,29506
440000,98,29505
450000,98,29504
450000,98,29503
7000000,1100,29501
140000,65,29500
140000,69,29499
480000,98,29498
470000,98,29497
2500000,500,29496
480000,164,29495
450000,326,29493
530000,100,29491
922000,265,29490
370000,72,29489
2200000,532,29483
360000,81,29482
350000,152,29481
480000,158,29479
342000,114,29478
352000,148,29477
760000,180,29476
1300000,298,29475
85000,60,29473
270000,83,29472
1300000,260,29471
140000,250,29470
390000,98,29469
1650000,247,29468
280000,137,29464
2400000,348,29463
410000,81,29462
280000,72,29461
200000,153,29458
980000,808,29456
790000,180,29455
245000,74,29454
280000,69,29453
175000,44,29452
800000,350,29450
220000,55,29449
160000,52,29445
480000,98,29444
870000,205,29442
360000,81,29441
670000,127,29436
160000,47,29435
380000,195,29434
1350000,220,29431
280000,165,29430
720000,150,29428
2400000,900,29427
140000,31,29426
640000,1544,29425
130000,50,29424
540000,181,29423
450000,158,29422
180000,49,29417
270000,224,29416
1200000,624,29414
450000,164,29413
220000,98,29410
1050000,200,29409
1100000,384,29408
130000,23,29407
890000,500,29405
890000,500,29405
180000,54,29401
750000,125,29400
800000,250,29399
250000,202,29396
235000,88,29395
490000,198,29394
620000,209,29393
495000,90,29392
140000,46,29391
420000,132,29390
240000,85,29389
135000,38,29387
160000,315,29385
500000,200,29384
300000,170,29383
90000,48,29382
450000,142,29381
980000,305,29378
220000,62,29377
270000,86,29376
280000,115,29375
950000,205,29374
950000,205,29373
750000,170,29371
270000,130,29370
625000,127,29368
3458500,800,29367
990000,390,29366
200000,94,29364
4000000,460,29362
425000,110,29360
250000,135,29358
200000,66,29356
250000,142,29355
375000,95,29352
124000,40,29347
390000,308,29344
950000,400,29343
300000,482,29342
300000,482,29341
300000,71,29340
480000,77,29339
240000,112,29338
280000,75,29332
150000,35,29331
470000,110,29324
220000,53,29323
520000,118,29321
1400000,555,29320
400000,227,29319
370000,96,29318
145000,38,29316
320000,75,29315
980000,400,29314
360000,437,29313
850000,143,29312
850000,188,29311
950000,167,29310
320000,190,29308
180000,48,29307
650000,150,29306
125000,250,29305
750000,170,29301
300000,72,29299
60000000,6122600,29298
240000,505,29297
220000,53,29296
165000,46,29295
220000,55,29292
140000,40,29290
350000,160,29288
650000,5000,29287
270000,221,29286
7000000,20100000,29285
650000,200,29284
1300000,305,29282
595000,123,29280
150000,46,29278
750000,270,29277
250000,100,29276
235000,66,29274
1730000,130680,29272
592000,73.6700000000000017053025658242404460906982421875,29271
2000000,2965,29269
210000,87,29267
145000,85,29266
135000,80,29265
1000000,196,29262
3500000,350,29261
400000,300,29260
